amfi_code,Sharpe_Ratio,Sharpe_Rank
148567,1.4483,1
120843,1.3067,2
148569,1.2349,3
119551,1.2083,4
120505,1.1801,5
149323,1.1321,6
100033,1.0937,7
118632,1.0817,8
101206,1.0272,9
120504,1.0265,10
119094,0.9982,11
119552,0.9533,12
149324,0.9498,13
119598,0.9453,14
148568,0.9263,15
102885,0.8171,16
120503,0.798,17
125497,0.7758,18
118635,0.6649,19
120506,0.6489,20
118633,0.6452,21
102887,0.6195,22
120507,0.4957,23
120841,0.4943,24
149322,0.464,25
118634,0.4484,26
125498,0.3006,27
101207,0.1627,28
119093,0.1296,29
120842,0.076,30
119092,0.0308,31
119599,-0.0572,32
119095,-0.076,33
120844,-0.0887,34
100016,-0.2015,35
102886,-0.2058,36
119120,-0.2266,37
118636,-0.3566,38
100025,-0.5671,39
101208,-0.8156,40
